i,t_v,tensiÃ³n(V)
0,1668000154.4835205,"-1.52943000E-04
"
0,1668000155.0035205,"-1.52901000E-04
"
0,1668000155.5335205,"-1.53120000E-04
"
0,1668000156.0535204,"-1.52682000E-04
"
0,1668000156.5835204,"-1.53432000E-04
"
0,1668000157.1035204,"-1.53578000E-04
"
0,1668000157.6335204,"-1.53474000E-04
"
0,1668000158.1535203,"-1.53692000E-04
"
0,1668000158.6835206,"-1.53630000E-04
"
0,1668000159.2035205,"-1.53536000E-04
"
0,1668000159.7335203,"-1.53796000E-04
"
0,1668000160.2535205,"-1.53952000E-04
"
0,1668000160.7835205,"-1.54056000E-04
"
0,1668000161.3035204,"-1.53921000E-04
"
0,1668000161.8335204,"-1.53786000E-04
"
0,1668000162.3535204,"-1.54629000E-04
"
0,1668000162.8745205,"-1.54119000E-04
"
0,1668000163.4045205,"-1.53827000E-04
"
0,1668000163.9345205,"-1.54473000E-04
"
0,1668000164.4545205,"-1.54514000E-04
"
0,1668000164.9855204,"-1.54462000E-04
"
